# Input: ./data/ca-GrQc.txt
# Nodes: 5242    Edges: 14484
# Algoritm: Clauset-Newman-Moore
# Modularity: 0.815882
# Communities: 421
# NId	CommunityId
3466	0
937	0
8579	0
15931	0
17038	0
18720	0
19607	0
1796	0
3386	0
24199	0
20122	0
14534	0
4708	0
14007	0
25916	0
16159	0
25486	0
20827	0
23614	0
17309	0
24833	0
543	0
1958	0
2193	0
3917	0
6858	0
8148	0
9092	0
12478	0
15366	0
18125	0
18398	0
19675	0
21806	0
23693	0
26196	0
8978	0
9017	0
15170	0
15455	0
16589	0
2255	0
3056	0
6158	0
7307	0
7324	0
8365	0
9023	0
11444	0
12324	0
12472	0
13831	0
14746	0
16128	0
17075	0
18875	0
19900	0
20000	0
20806	0
21944	0
21968	0
23302	0
23665	0
23758	0
24722	0
12045	0
12287	0
14181	0
20257	0
21613	0
25286	0
7985	0
16994	0
21075	0
7188	0
896	0
921	0
1508	0
6815	0
8279	0
13008	0
18605	0
21158	0
4416	0
2620	0
13190	0
3197	0
6160	0
8589	0
9417	0
14924	0
15972	0
17228	0
18940	0
19090	0
19475	0
20207	0
22644	0
22790	0
24001	0
25228	0
16976	0
1817	0
3725	0
5366	0
15911	0
1425	0
7105	0
23841	0
15829	0
22876	0
352	0
10555	0
15850	0
20533	0
21943	0
22603	0
23513	0
25034	0
1280	0
5851	0
11591	0
13520	0
16921	0
21646	0
17559	0
1674	0
3323	0
8680	0
9184	0
13813	0
19204	0
19206	0
19657	0
20373	0
23204	0
409	0
2474	0
6746	0
10791	0
15608	0
6154	0
7725	0
13705	0
15435	0
10588	0
3916	0
4525	0
5352	0
5729	0
10490	0
15311	0
23134	0
24614	0
7069	0
21723	0
1000	0
1149	0
1694	0
4575	0
5605	0
6288	0
12016	0
12070	0
13469	0
16101	0
18250	0
20667	0
23344	0
23939	0
25402	0
25948	0
3006	0
3630	0
5901	0
5953	0
7911	0
8730	0
10406	0
12874	0
13177	0
16817	0
19723	0
24885	0
1877	0
2042	0
15880	0
19710	0
20014	0
23163	0
23225	0
3683	0
3845	0
6748	0
14664	0
16065	0
16963	0
20650	0
4032	0
5194	0
23137	0
11495	0
12842	0
14308	0
5166	0
5597	0
9066	0
20787	0
23836	0
25050	0
5287	0
17273	0
114	0
2348	0
6631	0
8854	0
4290	0
8200	0
11113	0
12302	0
21017	0
7882	0
22826	0
14403	0
4351	0
5695	0
573	0
1430	0
4966	0
19493	0
4782	0
15582	0
17472	0
19707	0
21930	0
24835	0
24009	0
283	0
1880	0
5505	0
15959	0
15961	0
24444	0
302	0
2335	0
6702	0
11490	0
16108	0
17174	0
17924	0
2155	0
4283	0
6408	0
7715	0
5835	0
8376	0
8888	0
13067	0
4213	0
7045	0
11892	0
20645	0
23264	0
10600	0
13493	0
13496	0
18788	0
18791	0
23394	0
22462	0
1685	0
1321	0
16953	0
20191	0
25934	0
13384	0
4896	0
12927	0
6264	0
22144	0
7277	0
16766	0
16770	0
16858	0
17113	0
17389	0
18408	0
19089	0
20033	0
23429	0
24578	0
12491	0
24149	0
135	0
1776	0
4102	0
12311	0
12675	0
15816	0
19945	0
26176	0
1550	0
20952	0
24280	0
9511	0
17187	0
18736	0
19791	0
1229	0
1862	0
3194	0
3532	0
5400	0
7154	0
9946	0
10381	0
11107	0
17934	0
22721	0
24129	0
20089	0
25358	0
6832	0
19557	0
1090	0
3990	0
4635	0
4759	0
15166	0
24860	0
17859	0
12040	0
1217	0
1611	0
2165	0
3944	0
6033	0
14430	0
20495	0
21638	0
21708	0
22242	0
23233	0
3501	0
16278	0
24705	0
26005	0
7246	0
17240	0
25091	0
4135	0
16498	0
1736	0
1914	0
7586	0
14424	0
19462	0
25516	0
24183	0
2184	0
3193	0
4371	0
15998	0
23866	0
26004	0
15198	0
18067	0
18297	0
19781	0
2789	0
6641	0
15920	0
18233	0
24582	0
24583	0
15960	0
15974	0
17564	0
18782	0
23883	0
4878	0
5184	0
8643	0
11967	0
21779	0
24503	0
24942	0
81	0
1029	0
3819	0
122	0
6530	0
6707	0
6911	0
15479	0
3524	0
19927	0
7281	0
25597	0
18331	0
17911	0
26127	0
2912	0
4483	0
6175	0
8310	0
6533	0
8155	0
14165	0
24204	0
25911	0
24506	0
24595	0
6434	0
21162	0
11979	0
16274	0
22722	0
183	0
15971	0
5848	0
23149	0
4442	0
7935	0
25896	0
16485	0
3034	0
6156	0
18381	0
19686	0
20335	0
22523	0
2877	0
3876	0
7481	0
9338	0
12611	0
12861	0
15175	0
22493	0
4301	0
16265	0
21614	0
7578	0
1859	0
4298	0
15192	0
17274	0
18941	0
20902	0
22879	0
18215	0
19051	0
21125	0
1098	0
16107	0
26171	0
8150	0
4781	0
6081	0
6919	0
19358	0
23616	0
4117	0
16471	0
4422	0
13346	0
5601	0
5078	0
25172	0
5519	0
5730	0
11047	0
15252	0
26167	0
13389	0
12453	0
21156	0
10000	0
21634	0
851	0
2713	0
16837	0
18032	0
19568	0
20004	0
1341	0
1408	0
4273	0
5259	0
7355	0
9143	0
14357	0
16332	0
19940	0
853	0
8441	0
16070	0
16087	0
17231	0
19434	0
23944	0
24499	0
23681	0
23727	0
14647	0
17599	0
19442	0
19356	0
1499	0
20261	0
24002	0
23653	0
5862	0
7959	0
18973	0
19207	0
19580	0
3136	0
9248	0
11108	0
13966	0
4189	0
16234	0
17251	0
18373	0
20557	0
19871	0
25526	0
21588	0
19895	0
5812	0
17248	0
20618	0
20853	0
20924	0
11066	0
18684	0
19501	0
20942	0
2182	0
3553	0
15571	0
10918	0
20253	0
22105	0
1073	0
18399	0
9095	0
12043	0
18742	0
22890	0
26044	0
8876	0
10990	0
124	0
14319	0
15663	0
16937	0
18052	0
20258	0
9151	0
25856	0
19642	0
7592	0
8179	0
21653	0
3594	0
10024	0
23713	0
10376	0
15325	0
20344	0
2001	0
3633	0
23064	0
23686	0
864	0
1311	0
3983	0
9913	0
22382	0
